Country,Address,Postal Code,Lat,Long,
India,"U.H.L Building, First Floor, Opp Swimming Pool Complex, New Cotton Market, Hubli - 580029",580029,15.351513,75.132647,
India,"NO.277/A, Alagesan Road,Near Cotton City Pet Cilinic, Coimbatore - 641018",641018,11.000334,76.972947,
India,"NO: 17A, Ground floor, Gurunathan Street, Tennur, Thrichy-620017",620017,10.813434,78.671076,
India,"Godown? NO. 1, Plot NO.F-91, Road No 7, V.K.I.Area, Jaipur,Rajasthan-302013",302013,27.020064,75.772033,
India,"Ayush Complex, Ground floor, Kainshir Road, Karamtoli Village, Ainthapali (P.O), Sambalpur, Odisha - 768004",768004,21.489375,83.982363,
India,"Java Cuppa Building, Niridita Road, Pardhan Nagar, Siliguri,? West Bengal - 734003,",734003,26.77614,88.411303,
India,"Mandal Building, Bhiringi, NH-2, Benachity (P.O), Durgapur-713213",713213,23.543181,87.276754,
India,"Ram? Das Bhatta Gopinath Tower?, Main Road Near Dhobi Ghat, PO. Bistupur, Jamshedpur, Jharkhand - 831001",831001,22.822903,86.21501,
India,"No 33/3330 A (1) , Alinchuvadu - Vennala Road, Behind Ernakulam Medical Center, Vennala PO, Cochin-682028",682028,9.994003,76.320309,
India,"Building No.D6, Unit B, India Logistics (Milestone), Village? - Dive Anjur, Taluk - Bhiwandi, District - Thane, Maharastra - 421302.",421302,19.220656,73.01839,
India,"C-40, Gate NO 6, Okhla Industrial Area, Phase II, New Delhi-110020",110020,28.538848,77.275373,
India,"P.47 ,Taratalla Road,infront of Brace bridge station ,kolkatha-700088",700088,22.517199,88.300748,
India,"NO. 67. Madharvedu Village, Velappan Chavadi , Chennai-600077",600077,13.052815,80.13588,
India,"Plot NO. 59, Maheswari Nagar, 1st Main, Mahadevpura, Whitefield Road, Bengaluru, Karnataka - 560048",560048,12.985359,77.708126,
India,"Plot No:D VI, SIPCOT HI-TECH SEZ, Phase II, Srimangadu Village, Sriperambudur Taluk, Kancheepuram District, Tamilnadu 每 602105",602105,12.907903,80.219362,
India,"Part of Plot No 115, Bomnali Village, Teshil Kapashera, Dhulsiras (P.O), South West Delhi - 110077.",110077,12.939626,77.578144,
India,"Building B1A, Indo Space SKCL Industrial Park, Panriti 'B' Village, Vandalur - Wallajabad Main Road, Sriperumbudur Taluk, Kancheepuram Dist, Tamilnadu - 631604",631604,12.850279,79.942917,
India,"80/6, Chokkahalli Village, Next to Mother Diary, Hosakote to Siddalagatta Road, Hosakote Taluk, Bangalore - 562114",562114,13.073002,77.796697,
India,"Building# B3 (Partial 每 6 units out of 11),? Jai Bhagwan Realties Pvt Ltd, Mumbai Nasik Highway, Village - Vahuli, Post - Padgha, Bhiwandi Taluk, Maharastra - 421302.",421302,19.355925,73.06414,
India,"Khasara No. 70/5, Village Ghevra, Delhi 每 110081.",110081,28.682314,77.034937,
India,"F-28, Transport Nagar, Choti Park, Lucknow - 226008",226008,26.769573,80.82117,
India,"134, Rachana nagar, Sashi Magesh Niwas, Bhopal, M.P - 462 023",462023,23.249917,77.441512,
India,"Shed NO.2, Gummadi Bhasker Reddy Estates, Survey Number 630, Devar Yamzal, Shamirpet Mandal, RR District, Telangana - 5000014",5000014,17.494739,78.340566,
India,"Plot No-120, Near Naresh Dairy, Hirankudna, New Delhi-110041",110041,28.669661,77.056876,
India,"Part Of Khasra Number 227//3,4/1,8,218//23, Village Bhora Kalan, District Gurugram-122413 .",122413,28.304346,76.883626,
China,"No.5,Taoyuan Road,Kunshan Free Trade Zone, Jiangsu, Kunshan, China, 215300",215300,31.325468,121.004309,
China,"Sichuan/Chengdu/Shuangliu,511 Xing Shi Road,Frasers Hub A-Space,610043",610043,30.603512,103.995293,
China,"Sichuan/Chengdu/Xinjin?, Jinhua Town,No.318 Longxi Hebei Road,611430",611430,30.410186,103.81123,
China,"Sichuan/Chengdu/Shuangliu ?,No.868 Freight avenue , Zong bao logistics C2?warehouse,610200",610200,30.574177,103.923759,
China,"Shanxi/Xi'An/Xixian New Area,?Zimao Road ,Park Airport New City,Huahan Logistics,South Side Of Bonded Logistics Center,712033??? ",712033??? ,34.458247,108.715362,
China,"3/F, Tuen Mun Distribution Centre, Block 2, 3A Hung Cheung Road, Tuen Mun, N.T.Hong Kong",,22.39173,113.970141,
China,"Rm1102-1112, Corporation Square, 8 Lam Lok Street, Kowloon Bay, Hong Kong",,22.322285,114.207147,
China,"No. 377, Hui Gang Road, YCH DistriPark Shanghai 201308",201308,30.957046,121.882346,
China,"No.7, Xi Er Dao,TianJin Airport Industrial Park,TianJin, China,300300",300300,39.086683,117.313965,
China,"No 1169, Huashan Road, Tanggu Hi-Tech Development Area ,Tianjin, China, 300451",300451,39.036276,117.653806,
China,"No 196 Xin Gang Da Dao, Tianjin Port Free Trade Zone ㄛTianjin China,300456",300456,39.007469,117.715901,
China,"No 6,Hai Hang East Road,Modern industrial park,Ninghe District,Tianijn,China,301500",301500,39.330613,117.824897,
China,"No.2, Cuiyuan Road, Modern service park, Wuqing District, Tianjin, China,301700",301700,39.384051,117.04441,
China,"No.1 ,Xin Liang Road,Daliang town,Wuqing District,Tianjin,China,301700",301700,39.384054,117.04442,
China,"Long King(environmental protection) Building, No 395. Linhou Road, Xiamen,Fujian Province, China (361011)",361011,24.528161,118.11112,
China,"Door 11, No.1 building, Bonded Logistics Park,Xiamen, Fujian Province, China (361009)",361009,24.499074,118.131762,
China,"No.2, Lai'an Third Avenue, Yonghe Road, Huangpu district, Guangzhou,GuangDong Province,China (511356)",511356,23.178301,113.596485,
China,"Tianyuan Road No.939, Spring Kong ,Tianhe District, Guangzhou,GuangDong Provide, China(510640)",510640,23.154978,113.353856,
Australia,"Door K, Building 7, 14-54 Dennistoun Ave, Yennora 2161, Australia ",2161,-33.857098,150.972749,
